,game_name,stream_count,total_viewer_count,average_viewer_count
139,Final Fantasy VII,4,14807,3701
140,Marvel vs. Capcom 2: New Age of Heroes,1,9230,9230
141,The Walking Dead: Season One,1,2982,2982
142,Hearthstone,34,114632,3371
143,Call of Duty: Warzone,76,1462040,19237
144,ARK: Survival Evolved,6,37700,6283
145,Scooby-Doo and the Cyber Chase,1,2658,2658
146,Super Smash Bros. Melee,1,2360,2360
147,Home Sweet Home: Survive,1,2253,2253
148,Metin2,1,10184,10184
149,Super Mario Maker 2,6,15738,2623
150,XCOM 2,1,10486,10486
151,Tom Clancy's The Division 2,1,25516,25516
152,Mario Kart 8 Deluxe,1,2938,2938
153,Anime Land,1,2271,2271
154,Gartic Phone,2,5501,2750
155,Winning Post 9: 2021,1,14553,14553
156,SMITE,1,4508,4508
157,StarCraft,10,50213,5021
158,Hunt: Showdown,1,3118,3118
159,Dark Souls III,2,22792,11396
160,Everhood,1,9078,9078
